Prscrbr_Type,total_rows,null_count,percentage
"Family Practice",6854699,3871990,56.49
"Nurse Practitioner",6309516,3665192,58.09
"Internal Medicine",5597049,3062958,54.72
"Physician Assistant",2238518,1119044,49.99
Cardiology,723154,322071,44.54
Psychiatry,515752,369538,71.65
"General Practice",415555,224775,54.09
Neurology,390016,264449,67.8
"Emergency Medicine",293809,56261,19.15
Endocrinology,281825,152501,54.11
Ophthalmology,267929,97690,36.46
Nephrology,265309,155931,58.77
Dentist,249837,40349,16.15
"Pulmonary Disease",226886,128702,56.73
Gastroenterology,215081,114752,53.35
Dermatology,207580,78902,38.01
Hematology-Oncology,201320,135324,67.22
Hospitalist,184330,87798,47.63
Urology,173969,63163,36.31
"Interventional Cardiology",160692,68515,42.64
