Brnd_Name,Gnrc_Name,total_drug_cost,total_claims,cost_per_claim
Revcovi,Elapegademase-Lvlr,26460854.97,65,407090.08
Cablivi,Caplacizumab-Yhdp,6138424.68,25,245536.99
Carbaglu,"Carglumic Acid",9276566.42,42,220870.63
Myalept,Metreleptin,7423683.46,44,168720.08
Livmarli,"Maralixibat Chloride",3603414.36,24,150142.27
Amvuttra,"Vutrisiran Sodium",51018737.1,433,117826.18
Vyondys-53,Golodirsen,2955187.2,26,113661.05
Xenpozyme,"Olipudase Alfa-Rpcp",4703938.45,42,111998.53
Ruconest,"C1 Esterase Inhibitor, Recomb",31789537.32,292,108868.28
Cinryze,"C1 Esterase Inhibitor",22355000.92,218,102545.88
Vimizim,"Elosulfase Alfa",12228686.76,124,98618.44
Strensiq,"Asfotase Alfa",265657263.9,2749,96637.78
Viltepso,Viltolarsen,1636264.43,17,96250.85
Bylvay,Odevixibat,2388169.62,25,95526.78
Berinert,"C1 Esterase Inhibitor",26371125.44,304,86747.12
Ravicti,"Glycerol Phenylbutyrate",61060146.06,719,84923.71
Cholbam,"Cholic Acid",5178968.01,63,82205.84
Kalbitor,Ecallantide,15389380.64,189,81425.29
Firazyr,"Icatibant Acetate",25007862.57,310,80670.52
Amondys-45,Casimersen,14055010.91,184,76385.93
Mepsevii,"Vestronidase Alfa-Vjbk",901094.52,12,75091.21
Mavenclad,Cladribine,48612212.36,650,74788.02
"Afinitor Disperz",Everolimus,1762638.93,24,73443.29
Procysbi,"Cysteamine Bitartrate",19633999.47,279,70372.76
Acthar,Corticotropin,184342144.48,2740,67278.15
Actimmune,"Interferon Gamma-1b,recomb.",17822197.6,280,63650.71
Exondys-51,Eteplirsen,25643033.87,410,62543.99
Elaprase,Idursulfase,6001745.18,98,61242.3
Cortrophin,Corticotropin,66163554.33,1099,60203.42
Givlaari,"Givosiran Sodium",11526729.42,196,58809.84
Juxtapid,"Lomitapide Mesylate",3497681.81,60,58294.7
Daybue,Trofinetide,21320128.33,368,57935.13
Lumizyme,"Alglucosidase Alfa",9757740.77,169,57738.11
Tepezza,Teprotumumab-Trbw,64636145.0,1162,55624.91
Ultomiris,Ravulizumab-Cwvz,109178198.54,2030,53782.36
Nexviazyme,"Avalglucosidase Alfa-Ngpt",25738337.96,488,52742.5
Asceniv,"Immune Globulin,gamma(Igg)slra",2116991.95,41,51633.95
Pombiliti,"Cipaglucosidase Alfa-Atga",3213339.65,63,51005.39
Chenodal,Chenodiol,14326754.23,288,49745.67
Gattex,Teduglutide,242418617.5,4885,49625.1
Joenja,"Leniolisib Phosphate",2848995.48,59,48288.06
Firdapse,"Amifampridine Phosphate",135057255.92,2916,46315.93
Qinlock,Ripretinib,28064395.22,612,45856.85
Takhzyro,Lanadelumab-Flyo,169875911.61,3718,45690.13
"Vyvgart Hytrulo",Efgartigimod-Hyaluronidas-Qvfc,38564066.04,847,45530.18
Fabhalta,"Iptacopan Hcl",11480568.72,255,45021.84
"Acthar Selfject",Corticotropin,1437198.12,32,44912.44
Vyvgart,"Efgartigimod Alfa-Fcab",109701339.47,2461,44575.92
Olpruva,"Sodium Phenylbutyrate",488168.66,11,44378.97
Evkeeza,Evinacumab-Dgnb,7229139.57,166,43549.03
