Brnd_Name,Gnrc_Name,Total_drug_cost
Eliquis,Apixaban,19876304796.02
Ozempic,Semaglutide,12375986474.95
Jardiance,Empagliflozin,10678957371.72
Mounjaro,Tirzepatide,5825295740.73
Xarelto,Rivaroxaban,5436701738.5
"Trelegy Ellipta",Fluticasone/Umeclidin/Vilanter,4832494642.93
Trulicity,Dulaglutide,4786817612.43
Farxiga,"Dapagliflozin Propanediol",4661889792.39
"Humira(Cf) Pen",Adalimumab,3795159532.4
Revlimid,Lenalidomide,3788009699.62
Entresto,Sacubitril/Valsartan,3480046730.03
Biktarvy,"Bictegrav/Emtricit/Tenofov Ala",3202748091.09
Januvia,"Sitagliptin Phosphate",3195725240.55
Xtandi,Enzalutamide,3030169345.65
Vyndamax,Tafamidis,2504980200.93
Lenalidomide,Lenalidomide,2344941101.01
Stelara,Ustekinumab,2252981771.46
"Enbrel Sureclick",Etanercept,2147340743.11
Imbruvica,Ibrutinib,1965538196.66
Myrbetriq,Mirabegron,1896183996.9
Ofev,"Nintedanib Esylate",1833961636.79
Pomalyst,Pomalidomide,1738046814.14
Jakafi,"Ruxolitinib Phosphate",1735227944.02
Ibrance,Palbociclib,1720573794.99
"Invega Sustenna","Paliperidone Palmitate",1665583551.8
Linzess,Linaclotide,1572673940.1
"Dupixent Pen",Dupilumab,1547122325.06
"Repatha Sureclick",Evolocumab,1496360470.78
Ingrezza,"Valbenazine Tosylate",1470001391.83
Brukinsa,Zanubrutinib,1460269189.57
Calquence,"Acalabrutinib Maleate",1431883113.52
Tagrisso,"Osimertinib Mesylate",1338277910.83
Rybelsus,Semaglutide,1309259750.81
Opsumit,Macitentan,1177584021.89
Erleada,Apalutamide,1166878397.02
Rinvoq,Upadacitinib,1124402418.94
Restasis,Cyclosporine,1116868073.65
"Breo Ellipta",Fluticasone/Vilanterol,1072696267.36
Creon,Lipase/Protease/Amylase,1014341252.19
"Breztri Aerosphere",Budesonide/Glycopyr/Formoterol,912446611.26
Vraylar,"Cariprazine Hcl",901672327.92
"Skyrizi Pen",Risankizumab-Rzaa,848218894.95
Uptravi,Selexipag,829774603.92
Nubeqa,Darolutamide,828748991.27
Gemtesa,Vibegron,811538651.59
Austedo,Deutetrabenazine,797237769.99
Otezla,Apremilast,789471953.32
Verzenio,Abemaciclib,787406593.29
Tradjenta,Linagliptin,776080947.77
Xifaxan,Rifaximin,774417061.06
